year,rank,name,first_clean,middle,last,firstlast,gender_guess
1965,DEPUTY CHIEF OF MISSION, George M. Ingram,George,M.,Ingram,George Ingram,male
1965,POLITICAL SECTION, Eric W. Fleisher,Eric,W.,Fleisher,Eric Fleisher,male
1965,ECONOMIC SECTION, John Q. Blodgett,John,Q.,Blodgett,John Blodgett,male
1965,COMMERCIAL SECTION, Stephen Duncan-Peters,Stephen,,Duncan-Peters,Stephen Duncan-Peters,male
1965,AMBASSADOR, Charles E. Bohlen,Charles,E.,Bohlen,Charles Bohlen,male
1965,DEPUTY CHIEF OF MISSION, Robert H. McBride,Robert,H.,McBride,Robert McBride,male
1965,POLITICAL SECTION, John A. Bovey,John,A.,Bovey,John Bovey,male
1965,ECONOMIC SECTION, Stanley M. Cleveland,Stanley,M.,Cleveland,Stanley Cleveland,male
1965,COMMERCIAL SECTION," Thomas E. Drumm, Jr.",Thomas,E.,Drumm,Thomas Drumm,male
1965,AGRICULTURAL ATTACHE, Paul E. Quintus,Paul,E.,Quintus,Paul Quintus,male
1965,CONSULATE GENERAL, Marseille,Marseille,,,Marseille ,unknown
1965,CONSUL GENERAL, Daniel V. Anderson,Daniel,V.,Anderson,Daniel Anderson,male
1965,AMBASSADOR, Charles F. Darlington,Charles,F.,Darlington,Charles Darlington,male
1965,DEPUTY CHIEF OF MISSION, William F. Courtney,William,F.,Courtney,William Courtney,male
1965,AMBASSADOR, George C. McGhee,George,C.,McGhee,George McGhee,male
1965,DEPUTY CHIEF OF MISSION, Martin J. Hillenbrand,Martin,J.,Hillenbrand,Martin Hillenbrand,male
1965,POLITICAL SECTION, Coburn B. Kidd,Coburn,B.,Kidd,Coburn Kidd,unknown
1965,ECONOMIC SECTION, Edwin M. Cronk,Edwin,M.,Cronk,Edwin Cronk,male
1965,COMMERCIAL SECTION, Paul H. Brent,Paul,H.,Brent,Paul Brent,male
1965,AGRICULTURAL ATTACHE, Paul G. Minneman,Paul,G.,Minneman,Paul Minneman,male
1965,MISSION, Berlin,Berlin,,,Berlin ,unknown
1965,AND ASSISTANT CHIEF OF MISSION, John A. Calhoun,John,A.,Calhoun,John Calhoun,male
1965,DEPUTY TO ASSISTANT CHIEF OF MISSION," Charles E. Hulick, Jr.",Charles,E.,Hulick,Charles Hulick,male
1965,POLITICAL SECTION, Arthur R. Day,Arthur,R.,Day,Arthur Day,male
1965,ECONOMIC SECTION, Parker D. Wyman,Parker,D.,Wyman,Parker Wyman,mostly_male
1965,CONSULATE GENERAL, Bremen,Bremen,,,Bremen ,unknown
1965,CONSUL GENERAL, Leo M. Goodman,Leo,M.,Goodman,Leo Goodman,male
1965,ECONOMIC SECTION, Brynhild C. Rowberg,Brynhild,C.,Rowberg,Brynhild Rowberg,unknown
1965,CONSULATE GENERAL, Duesseldorf,Duesseldorf,,,Duesseldorf ,unknown
1965,CONSUL GENERAL, Edmund H. Kellogg,Edmund,H.,Kellogg,Edmund Kellogg,male
1965,COMMERCIAL SECTION, Emst A. Van Es,Emst,A.,Van Es,Emst Van Es,unknown
1965,CONSULATE GENERAL, Frankfurt am Main,Frankfurt,am,Main,Frankfurt Main,unknown
1965,CONSUL GENERAL, Henry H. Ford,Henry,H.,Ford,Henry Ford,male
1965,DEPUTY PRINCIPAL OFFICER, Everett K. Melby,Everett,K.,Melby,Everett Melby,male
1965,ECONOMIC SECTION, Anthony Radspieler,Anthony,,Radspieler,Anthony Radspieler,male
1965,COMMERCIAL SECTION, Edmund F. Becker,Edmund,F.,Becker,Edmund Becker,male
1965,CONSULATE GENERAL, Hamburg,Hamburg,,,Hamburg ,unknown
1965,CONSUL GENERAL, E. Tomlin Bailey,Tomlin,Tomlin,Bailey,Tomlin Bailey,unknown
1965,CONSULATE GENERAL, Munich,Munich,,,Munich ,unknown
1965,CONSUL GENERAL, Paul B. Taylor,Paul,B.,Taylor,Paul Taylor,male
1965,DEPUTY PRINCIPAL OFFICER, Neil M. Ruge,Neil,M.,Ruge,Neil Ruge,male
1965,ECONOMIC SECTION, Dwight M. Cramer,Dwight,M.,Cramer,Dwight Cramer,male
1965,CONSULATE GENERAL, Stuttgart,Stuttgart,,,Stuttgart ,unknown
1965,CONSUL GENERAL, Paul R. Sweet,Paul,R.,Sweet,Paul Sweet,male
1965,ECONOMIC SECTION, George F. Bogardus,George,F.,Bogardus,George Bogardus,male
1965,COMMERCIAL SECTION, George L. Rueckert,George,L.,Rueckert,George Rueckert,male
1965,AMBASSADOR," William P. Mahoney, Jr.",William,P.,Mahoney,William Mahoney,male
1965,DEPUTY CHIEF OF MISSION," Oliver L. Troxel, Jr.",Oliver,L.,Troxel,Oliver Troxel,male
1965,POLITICAL SECTION, Willard A. Depree,Willard,A.,Depree,Willard Depree,male
1965,ECONOMIC SECTION," John W. Foley, Jr.",John,W.,Foley,John Foley,male
1965,COMMERCIAL SECTION, Evelyn 'Schwarztrauber,Evelyn,,'Schwarztrauber,Evelyn 'Schwarztrauber,female
1965,AID MISSION DIRECTOR, Frank E. Pinder,Frank,E.,Pinder,Frank Pinder,male
