text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
DCM:,DCM:,"DCM: William Clark, Jr.",DCM," William Clark, Jr.",,William,,Clark,Jr.,William,William Clark
ADM:,ADM:,ADM: Frank M. Fulgham,ADM, Frank M. Fulgham,,Frank,M.,Fulgham,,Frank,Frank Fulgham
ECO:,ECO:,ECO: William G.,ECO, William G.,,William,,G.,,William,William G.
RSO:,RSO:,RSO: William D. Clarke,RSO, William D. Clarke,,William,D.,Clarke,,William,William Clarke
SCI:,SCI:,SCI: Gerard F. Helfrich,SCI, Gerard F. Helfrich,,Gerard,F.,Helfrich,,Gerard,Gerard Helfrich
FIN:,FIN:,FIN: William McCamey,FIN, William McCamey,,William,,McCamey,,William,William McCamey
AGR:,AGR:,"AGR: William L. Davis, Jr.",AGR," William L. Davis, Jr.",,William,L.,Davis,Jr.,William,William Davis
COM:,COM:,COM: Joseph F. Christiano,COM, Joseph F. Christiano,,Joseph,F.,Christiano,,Joseph,Joseph Christiano
PAO:,PAO:,PAO: David I. Hitchcock,PAO, David I. Hitchcock,,David,I.,Hitchcock,,David,David Hitchcock
POL:,POL:,POL: Robert M. Immerman,POL, Robert M. Immerman,,Robert,M.,Immerman,,Robert,Robert Immerman
ODA:,ODA:,ODA: Capt Walter C. Nix,ODA, Capt Walter C. Nix,Capt,Walter,C.,Nix,,Walter,Walter Nix
LAB:,LAB:,LAB: Lester P. Slezak,LAB, Lester P. Slezak,,Lester,P.,Slezak,,Lester,Lester Slezak
DIR:,DIR:,DIR: Robert D. Clark,DIR, Robert D. Clark,,Robert,D.,Clark,,Robert,Robert Clark
PO:,PO:,PO: Ulrich A. Straus,PO, Ulrich A. Straus,,Ulrich,A.,Straus,,Ulrich,Ulrich Straus
CON:,CON:,CON: John Maiorino,CON, John Maiorino,,John,,Maiorino,,John,John Maiorino
POL:,POL:,"POL: Leroy C. Debold, Jr.",POL," Leroy C. Debold, Jr.",,Leroy,C.,Debold,Jr.,Leroy,Leroy Debold
CG.,CG.,CG. W. Lawrence Dutton,CG, W. Lawrence Dutton,,W.,Lawrence,Dutton,,Lawrence,Lawrence Dutton
COM:,COM:,COM: Herbert A. Cochran,COM, Herbert A. Cochran,,Herbert,A.,Cochran,,Herbert,Herbert Cochran
ECO:,ECO:,ECO: Norman S. Hastings,ECO, Norman S. Hastings,,Norman,S.,Hastings,,Norman,Norman Hastings
BPAO: Jack A. Sears,BPAO: Jack A. Sears,BPAO: Jack A. Sears,BPAO, Jack A. Sears,,Jack,A.,Sears,,Jack,Jack Sears
ADM:,ADM:,ADM: Jimmy,ADM, Jimmy,,Jimmy,,,,Jimmy,Jimmy 
CON:,CON:,CON: Thomas L. Holladay,CON, Thomas L. Holladay,,Thomas,L.,Holladay,,Thomas,Thomas Holladay
PO:,PO:,PO: Marilyn A. Meyers,PO, Marilyn A. Meyers,,Marilyn,A.,Meyers,,Marilyn,Marilyn Meyers
CON:,CON:,CON: John R. Dinger,CON, John R. Dinger,,John,R.,Dinger,,John,John Dinger
BPAO: Lynne E. Hart,BPAO: Lynne E. Hart,BPAO: Lynne E. Hart,BPAO, Lynne E. Hart,,Lynne,E.,Hart,,Lynne,Lynne Hart
PO:,PO:,PO: Charles F. Kartman,PO, Charles F. Kartman,,Charles,F.,Kartman,,Charles,Charles Kartman
