text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
COUNSELOR: Robert W. Dean,COUNSELOR: Robert W. Dean,COUNSELOR: Robert W. Dean,COUNSELOR, Robert W. Dean,,Robert,W.,Dean,,Robert,Robert Dean
ECONOMIC SECTION: Williams Beal,ECONOMIC SECTION: Williams Beal,ECONOMIC SECTION: Williams Beal,ECONOMIC SECTION, Williams Beal,,Williams,,Beal,,Williams,Williams Beal
CONSULATE GENERAL: Recife,CONSULATE GENERAL: Recife,CONSULATE GENERAL: Recife,CONSULATE GENERAL, Recife,,Recife,,,,Recife,Recife 
CONSUL GENERAL: Edward J. Rowell,CONSUL GENERAL: Edward J. Rowell,CONSUL GENERAL: Edward J. Rowell,CONSUL GENERAL, Edward J. Rowell,,Edward,J.,Rowell,,Edward,Edward Rowell
COMMERCIAL SECTION: Fred Exton,COMMERCIAL SECTION: Fred Exton,COMMERCIAL SECTION: Fred Exton,COMMERCIAL SECTION, Fred Exton,,Fred,,Exton,,Fred,Fred Exton
CONSULATE GENERAL: Sao Paulo,CONSULATE GENERAL: Sao Paulo,CONSULATE GENERAL: Sao Paulo,CONSULATE GENERAL, Sao Paulo,,Sao,,Paulo,,Sao,Sao Paulo
CONSUL GENERAL: Niles W. Bond,CONSUL GENERAL: Niles W. Bond,CONSUL GENERAL: Niles W. Bond,CONSUL GENERAL, Niles W. Bond,,Niles,W.,Bond,,Niles,Niles Bond
COMMERCIAL SECTION: Herman J. Jelinek,COMMERCIAL SECTION: Herman J. Jelinek,COMMERCIAL SECTION: Herman J. Jelinek,COMMERCIAL SECTION, Herman J. Jelinek,,Herman,J.,Jelinek,,Herman,Herman Jelinek
CONSULATE GENERAL: Georgetown,CONSULATE GENERAL: Georgetown,CONSULATE GENERAL: Georgetown,CONSULATE GENERAL, Georgetown,,Georgetown,,,,Georgetown,Georgetown 
CONSUL GENERAL: Delmar R. Carlson,CONSUL GENERAL: Delmar R. Carlson,CONSUL GENERAL: Delmar R. Carlson,CONSUL GENERAL, Delmar R. Carlson,,Delmar,R.,Carlson,,Delmar,Delmar Carlson
ECONOMIC SECTION: George W. Ogg,ECONOMIC SECTION: George W. Ogg,ECONOMIC SECTION: George W. Ogg,ECONOMIC SECTION, George W. Ogg,,George,W.,Ogg,,George,George Ogg
AID REPRESENTATIVE: Harry W. Yoe,AID REPRESENTATIVE: Harry W. Yoe,AID REPRESENTATIVE: Harry W. Yoe,AID REPRESENTATIVE, Harry W. Yoe,,Harry,W.,Yoe,,Harry,Harry Yoe
LEGATION: Sofia,LEGATION: Sofia,LEGATION: Sofia,LEGATION, Sofia,,Sofia,,,,Sofia,Sofia 
DEPUTY CHIEF OF MISSION: Richard E. Johnson,DEPUTY CHIEF OF MISSION: Richard E. Johnson,DEPUTY CHIEF OF MISSION: Richard E. Johnson,DEPUTY CHIEF OF MISSION, Richard E. Johnson,,Richard,E.,Johnson,,Richard,Richard Johnson
POLITICAL SECTION: Timothy A. Pfeiffer,POLITICAL SECTION: Timothy A. Pfeiffer,POLITICAL SECTION: Timothy A. Pfeiffer,POLITICAL SECTION, Timothy A. Pfeiffer,,Timothy,A.,Pfeiffer,,Timothy,Timothy Pfeiffer
ECONOMIC SECTION: Donald C. Tice,ECONOMIC SECTION: Donald C. Tice,ECONOMIC SECTION: Donald C. Tice,ECONOMIC SECTION, Donald C. Tice,,Donald,C.,Tice,,Donald,Donald Tice
AMBASSADOR: Henry A. Byroade,AMBASSADOR: Henry A. Byroade,AMBASSADOR: Henry A. Byroade,AMBASSADOR, Henry A. Byroade,,Henry,A.,Byroade,,Henry,Henry Byroade
POLITICAL SECTION: Kingdon W. Swayne,POLITICAL SECTION: Kingdon W. Swayne,POLITICAL SECTION: Kingdon W. Swayne,POLITICAL SECTION, Kingdon W. Swayne,,Kingdon,W.,Swayne,,Kingdon,Kingdon Swayne
ECONOMIC SECTION: Lubert O. Sanderhoff,ECONOMIC SECTION: Lubert O. Sanderhoff,ECONOMIC SECTION: Lubert O. Sanderhoff,ECONOMIC SECTION, Lubert O. Sanderhoff,,Lubert,O.,Sanderhoff,,Lubert,Lubert Sanderhoff
AMBASSADOR: Donald A. Dumont,AMBASSADOR: Donald A. Dumont,AMBASSADOR: Donald A. Dumont,AMBASSADOR, Donald A. Dumont,,Donald,A.,Dumont,,Donald,Donald Dumont
DEPUTY CHIEF OF MISSION: Thompson R. Buchanan,DEPUTY CHIEF OF MISSION: Thompson R. Buchanan,DEPUTY CHIEF OF MISSION: Thompson R. Buchanan,DEPUTY CHIEF OF MISSION, Thompson R. Buchanan,,Thompson,R.,Buchanan,,Thompson,Thompson Buchanan
"POLITICAL SECTION: Martin J. Bergin, Jr.","POLITICAL SECTION: Martin J. Bergin, Jr.","POLITICAL SECTION: Martin J. Bergin, Jr.",POLITICAL SECTION," Martin J. Bergin, Jr.",,Martin,J.,Bergin,Jr.,Martin,Martin Bergin
DEPUTY CHIEF OF MISSION: Charles K. Moffly,DEPUTY CHIEF OF MISSION: Charles K. Moffly,DEPUTY CHIEF OF MISSION: Charles K. Moffly,DEPUTY CHIEF OF MISSION, Charles K. Moffly,,Charles,K.,Moffly,,Charles,Charles Moffly
POLITICAL SECTION: John P. Blane,POLITICAL SECTION: John P. Blane,POLITICAL SECTION: John P. Blane,POLITICAL SECTION, John P. Blane,,John,P.,Blane,,John,John Blane
ECONOMIC SECTION: Lloyd L. Lee,ECONOMIC SECTION: Lloyd L. Lee,ECONOMIC SECTION: Lloyd L. Lee,ECONOMIC SECTION, Lloyd L. Lee,,Lloyd,L.,Lee,,Lloyd,Lloyd Lee
AMBASSADOR: W. Walton Butterworth,AMBASSADOR: W. Walton Butterworth,AMBASSADOR: W. Walton Butterworth,AMBASSADOR, W. Walton Butterworth,,W.,Walton,Butterworth,,Walton,Walton Butterworth
DEPUTY CHIEF OF MISSON: Joseph W. Scott,DEPUTY CHIEF OF MISSON: Joseph W. Scott,DEPUTY CHIEF OF MISSON: Joseph W. Scott,DEPUTY CHIEF OF MISSON, Joseph W. Scott,,Joseph,W.,Scott,,Joseph,Joseph Scott
"POLITICAL SECTION: William M. Johnson, Jr.","POLITICAL SECTION: William M. Johnson, Jr.","POLITICAL SECTION: William M. Johnson, Jr.",POLITICAL SECTION," William M. Johnson, Jr.",,William,M.,Johnson,Jr.,William,William Johnson
ECONOMIC SECTION: Francis A. Linville,ECONOMIC SECTION: Francis A. Linville,ECONOMIC SECTION: Francis A. Linville,ECONOMIC SECTION, Francis A. Linville,,Francis,A.,Linville,,Francis,Francis Linville
COMMERCIAL SECTION: Leonard H. Price,COMMERCIAL SECTION: Leonard H. Price,COMMERCIAL SECTION: Leonard H. Price,COMMERCIAL SECTION, Leonard H. Price,,Leonard,H.,Price,,Leonard,Leonard Price
AGRICULTURAL ATTACHE: John C. McDonald,AGRICULTURAL ATTACHE: John C. McDonald,AGRICULTURAL ATTACHE: John C. McDonald,AGRICULTURAL ATTACHE, John C. McDonald,,John,C.,McDonald,,John,John McDonald
"CONSULATE GENERAL: Calgary, Alberta","CONSULATE GENERAL: Calgary, Alberta","CONSULATE GENERAL: Calgary, Alberta",CONSULATE GENERAL," Calgary, Alberta",,Alberta,,Calgary,,Alberta,Alberta Calgary
CONSUL GENERAL: John L. Hagan,CONSUL GENERAL: John L. Hagan,CONSUL GENERAL: John L. Hagan,CONSUL GENERAL, John L. Hagan,,John,L.,Hagan,,John,John Hagan
"CONSULATE GENERAL: Halifax, Nova Scotia","CONSULATE GENERAL: Halifax, Nova Scotia","CONSULATE GENERAL: Halifax, Nova Scotia",CONSULATE GENERAL," Halifax, Nova Scotia",,Nova,Scotia,Halifax,,Nova,Nova Halifax
CONSUL GENERAL: Robert S. Black,CONSUL GENERAL: Robert S. Black,CONSUL GENERAL: Robert S. Black,CONSUL GENERAL, Robert S. Black,,Robert,S.,Black,,Robert,Robert Black
"CONSULATE GENERAL: Montreal, Quebec","CONSULATE GENERAL: Montreal, Quebec","CONSULATE GENERAL: Montreal, Quebec",CONSULATE GENERAL," Montreal, Quebec",,Quebec,,Montreal,,Quebec,Quebec Montreal
"CONSUL GENERAL: Richard H. Hawkins, Jr.","CONSUL GENERAL: Richard H. Hawkins, Jr.","CONSUL GENERAL: Richard H. Hawkins, Jr.",CONSUL GENERAL," Richard H. Hawkins, Jr.",,Richard,H.,Hawkins,Jr.,Richard,Richard Hawkins
ECONOMIC SECTION: Frederick T. Rope,ECONOMIC SECTION: Frederick T. Rope,ECONOMIC SECTION: Frederick T. Rope,ECONOMIC SECTION, Frederick T. Rope,,Frederick,T.,Rope,,Frederick,Frederick Rope
"CONSULATE GENERAL: Quebec, Quebec","CONSULATE GENERAL: Quebec, Quebec","CONSULATE GENERAL: Quebec, Quebec",CONSULATE GENERAL," Quebec, Quebec",,Quebec,,Quebec,,Quebec,Quebec Quebec
CONSUL GENERAL: Jerome T. Gaspard,CONSUL GENERAL: Jerome T. Gaspard,CONSUL GENERAL: Jerome T. Gaspard,CONSUL GENERAL, Jerome T. Gaspard,,Jerome,T.,Gaspard,,Jerome,Jerome Gaspard
"CONSULATE GENERAL: St. John's, Newfoundland","CONSULATE GENERAL: St. John's, Newfoundland","CONSULATE GENERAL: St. John's, Newfoundland",CONSULATE GENERAL," St. John's, Newfoundland",,Newfoundland,,St. John's,,Newfoundland,Newfoundland St. John's
CONSUL GENERAL: Homer W. Lanford,CONSUL GENERAL: Homer W. Lanford,CONSUL GENERAL: Homer W. Lanford,CONSUL GENERAL, Homer W. Lanford,,Homer,W.,Lanford,,Homer,Homer Lanford
"CONSULATE GENERAL: Toronto, Ontario","CONSULATE GENERAL: Toronto, Ontario","CONSULATE GENERAL: Toronto, Ontario",CONSULATE GENERAL," Toronto, Ontario",,Ontario,,Toronto,,Ontario,Ontario Toronto
"CONSUL GENERAL: W. Park Armstrong, Jr.","CONSUL GENERAL: W. Park Armstrong, Jr.","CONSUL GENERAL: W. Park Armstrong, Jr.",CONSUL GENERAL," W. Park Armstrong, Jr.",,W.,Park,Armstrong,Jr.,Park,Park Armstrong
ECONOMIC SECTION: William E. Price,ECONOMIC SECTION: William E. Price,ECONOMIC SECTION: William E. Price,ECONOMIC SECTION, William E. Price,,William,E.,Price,,William,William Price
"CONSULATE GENERAL: Vancouver, British Columbia","CONSULATE GENERAL: Vancouver, British Columbia","CONSULATE GENERAL: Vancouver, British Columbia",CONSULATE GENERAL," Vancouver, British Columbia",British,Columbia,,Vancouver,,Columbia,Columbia Vancouver
CONSUL GENERAL: Avery F. Peterson,CONSUL GENERAL: Avery F. Peterson,CONSUL GENERAL: Avery F. Peterson,CONSUL GENERAL, Avery F. Peterson,,Avery,F.,Peterson,,Avery,Avery Peterson
ECONOMIC SECTION: Arne T. Fliflet,ECONOMIC SECTION: Arne T. Fliflet,ECONOMIC SECTION: Arne T. Fliflet,ECONOMIC SECTION, Arne T. Fliflet,,Arne,T.,Fliflet,,Arne,Arne Fliflet
"CONSULATE GENERAL: Winnipeg, Manitoba","CONSULATE GENERAL: Winnipeg, Manitoba","CONSULATE GENERAL: Winnipeg, Manitoba",CONSULATE GENERAL," Winnipeg, Manitoba",,Manitoba,,Winnipeg,,Manitoba,Manitoba Winnipeg
CONSUL GENERAL: John H. Morris,CONSUL GENERAL: John H. Morris,CONSUL GENERAL: John H. Morris,CONSUL GENERAL, John H. Morris,,John,H.,Morris,,John,John Morris
AMBASSADOR: Claude G. Ross,AMBASSADOR: Claude G. Ross,AMBASSADOR: Claude G. Ross,AMBASSADOR, Claude G. Ross,,Claude,G.,Ross,,Claude,Claude Ross
DEPUTY CHIEF OF MISSION: Edward T. Brennan,DEPUTY CHIEF OF MISSION: Edward T. Brennan,DEPUTY CHIEF OF MISSION: Edward T. Brennan,DEPUTY CHIEF OF MISSION, Edward T. Brennan,,Edward,T.,Brennan,,Edward,Edward Brennan
AMBASSADOR: Cecil B. Lyon,AMBASSADOR: Cecil B. Lyon,AMBASSADOR: Cecil B. Lyon,AMBASSADOR, Cecil B. Lyon,,Cecil,B.,Lyon,,Cecil,Cecil Lyon
DEPUTY CHIEF OF MISSION: LaRue R. Lutkins,DEPUTY CHIEF OF MISSION: LaRue R. Lutkins,DEPUTY CHIEF OF MISSION: LaRue R. Lutkins,DEPUTY CHIEF OF MISSION, LaRue R. Lutkins,,LaRue,R.,Lutkins,,LaRue,LaRue Lutkins
POLITICAL SECTION: David L. Gamon,POLITICAL SECTION: David L. Gamon,POLITICAL SECTION: David L. Gamon,POLITICAL SECTION, David L. Gamon,,David,L.,Gamon,,David,David Gamon
ECONOMIC SECTION: Michael Calingaert,ECONOMIC SECTION: Michael Calingaert,ECONOMIC SECTION: Michael Calingaert,ECONOMIC SECTION, Michael Calingaert,,Michael,,Calingaert,,Michael,Michael Calingaert
AMBASSADOR: Brewster H. Morris,AMBASSADOR: Brewster H. Morris,AMBASSADOR: Brewster H. Morris,AMBASSADOR, Brewster H. Morris,,Brewster,H.,Morris,,Brewster,Brewster Morris
DEPUTY CHIEF OF MISSION: James F. Relph,DEPUTY CHIEF OF MISSION: James F. Relph,DEPUTY CHIEF OF MISSION: James F. Relph,DEPUTY CHIEF OF MISSION, James F. Relph,,James,F.,Relph,,James,James Relph
AMBASSADOR: Ralph A. Dungan,AMBASSADOR: Ralph A. Dungan,AMBASSADOR: Ralph A. Dungan,AMBASSADOR, Ralph A. Dungan,,Ralph,A.,Dungan,,Ralph,Ralph Dungan
DEPUTY CHIEF OF MISSION: Joseph J. Jova,DEPUTY CHIEF OF MISSION: Joseph J. Jova,DEPUTY CHIEF OF MISSION: Joseph J. Jova,DEPUTY CHIEF OF MISSION, Joseph J. Jova,,Joseph,J.,Jova,,Joseph,Joseph Jova
