year,rank,name,first_clean,middle,last,firstlast
1965,AMBASSADOR, Maurice M. Bernbaum,Maurice,M.,Bernbaum,Maurice Bernbaum
1965,DEPUTY CHIEF OF MISSION, Samuel O. Lane,Samuel,O.,Lane,Samuel Lane
1965,POLITICAL SECTION, Earl H. Lubensky,Earl,H.,Lubensky,Earl Lubensky
1965,ECONOMIC SECTION, Thomas K. Shields,Thomas,K.,Shields,Thomas Shields
1965,COMMERCIAL SECTION," Madison M. Adams, Jr.",Madison,M.,Adams,Madison Adams
1965,AGRICULTURAL ATTACHE, Carlos J. Ortega,Carlos,J.,Ortega,Carlos Ortega
1965,AID MISSION DIRECTOR, Donald L. Daughters,Donald,L.,Daughters,Donald Daughters
1965,CONSULATE GENERAL, Guayaquil,Guayaquil,,,Guayaquil 
1965,CONSUL GENERAL, Alton W. Hemba,Alton,W.,Hemba,Alton Hemba
1965,COMMERCIAL SECTION," Howland Bancroft, Jr.",Howland,,Bancroft,Howland Bancroft
1965,AMBASSADOR, Raul H. Castro,Raul,H.,Castro,Raul Castro
1965,DEPUTY CHIEF OF MISSION, Leonard J. Saccio,Leonard,J.,Saccio,Leonard Saccio
1965,POLITICAL SECTION, Robert M. Phillips,Robert,M.,Phillips,Robert Phillips
1965,COMMERCIAL SECTION, Melville A. Shaw,Melville,A.,Shaw,Melville Shaw
1965,AGRICULTURAL ATTACHE, Alvin E. Gilbert,Alvin,E.,Gilbert,Alvin Gilbert
1965,AID MISSION DIRECTOR, Robert W. Herder,Robert,W.,Herder,Robert Herder
1965,AMBASSADOR, Edward M. Korry,Edward,M.,Korry,Edward Korry
1965,DEPUTY CHIEF OF MISSION, Sheldon B. Vance,Sheldon,B.,Vance,Sheldon Vance
1965,POLITICAL SECTION, Robert H. Wenzel,Robert,H.,Wenzel,Robert Wenzel
1965,ECONOMIC SECTION, Donald L. Woolf,Donald,L.,Woolf,Donald Woolf
1965,AID MISSION DIRECTOR, Willard H. Meinedce,Willard,H.,Meinedce,Willard Meinedce
1965,AMBASSADOR, Tyler Thompson,Tyler,,Thompson,Tyler Thompson
1965,DEPUTY CHIEF OF MISSION, George M. Ingram,George,M.,Ingram,George Ingram
1965,POLITICAL SECTION, Eric W. Fleisher,Eric,W.,Fleisher,Eric Fleisher
1965,ECONOMIC SECTION, John Q. Blodgett,John,Q.,Blodgett,John Blodgett
1965,COMMERCIAL SECTION, Stephen Duncan-Peters,Stephen,,Duncan-Peters,Stephen Duncan-Peters
1965,AMBASSADOR, Charles E. Bohlen,Charles,E.,Bohlen,Charles Bohlen
1965,DEPUTY CHIEF OF MISSION, Robert H. McBride,Robert,H.,McBride,Robert McBride
1965,POLITICAL SECTION, John A. Bovey,John,A.,Bovey,John Bovey
1965,ECONOMIC SECTION, Stanley M. Cleveland,Stanley,M.,Cleveland,Stanley Cleveland
1965,COMMERCIAL SECTION," Thomas E. Drumm, Jr.",Thomas,E.,Drumm,Thomas Drumm
1965,AGRICULTURAL ATTACHE, Paul E. Quintus,Paul,E.,Quintus,Paul Quintus
1965,CONSULATE GENERAL, Marseille,Marseille,,,Marseille 
1965,CONSUL GENERAL, Daniel V. Anderson,Daniel,V.,Anderson,Daniel Anderson
